gene_id,gene_name
462,ENSG00000229978.1,PRAMEF36P
463,ENSG00000233336.1,RP13-221M14.2
464,ENSG00000280267.4,PRAMEF26
465,ENSG00000179412.11,HNRNPCL4
466,ENSG00000204505.5,PRAMEF9
467,ENSG00000279169.3,PRAMEF13
468,ENSG00000279804.2,PRAMEF18
469,ENSG00000250894.1,PRAMEF31P
470,ENSG00000270601.4,PRAMEF5
471,ENSG00000231219.1,PRAMEF32P
472,ENSG00000207511.1,RNU6-771P
473,ENSG00000182330.10,PRAMEF8
474,ENSG00000237700.2,PRAMEF33
475,ENSG00000204501.7,PRAMEF15
476,ENSG00000228229.2,RP11-219C24.10
477,ENSG00000204481.8,PRAMEF14
478,ENSG00000204480.8,PRAMEF19
479,ENSG00000204479.4,PRAMEF17
480,ENSG00000204478.10,PRAMEF20
481,ENSG00000162494.6,LRRC38
482,ENSG00000259961.1,RP4-597A16.2
483,ENSG00000215909.3,BRWD1P1
484,ENSG00000162493.17,PDPN
485,ENSG00000222952.1,RNA5SP41
486,ENSG00000237445.2,CTA-520D8.2
487,ENSG00000253085.1,ENSG10010140100.1
488,ENSG00000116731.22,PRDM2
489,ENSG00000189337.17,KAZN
490,ENSG00000252151.1,RNU6-1265P
491,ENSG00000231606.2,RP11-344F13.1
492,ENSG00000234593.3,KAZN-AS1
493,ENSG00000235829.1,TBCAP2
494,ENSG00000287756.1,RP5-864I18.1
495,ENSG00000175147.13,TMEM51-AS1
496,ENSG00000171729.14,TMEM51
497,ENSG00000204464.7,C1orf195
498,ENSG00000215720.4,MFFP1
499,ENSG00000278480.1,ZBTB2P1
500,ENSG00000142621.20,FHAD1
501,ENSG00000233485.1,FHAD1-AS1
502,ENSG00000236045.1,RP3-467K16.7
503,ENSG00000228140.2,RP3-467K16.4
504,ENSG00000142634.13,EFHD2
505,ENSG00000162438.12,CTRC
506,ENSG00000142615.8,CELA2A
507,ENSG00000215704.10,CELA2B
508,ENSG00000132906.18,CASP9
509,ENSG00000116138.13,DNAJC16
510,ENSG00000251866.1,SCARNA21B
511,ENSG00000272510.1,RP4-680D5.8
512,ENSG00000116771.6,AGMAT
513,ENSG00000237301.1,RP4-680D5.2
514,ENSG00000235084.3,CHCHD2P6
515,ENSG00000252417.1,RNU7-179P
516,ENSG00000236500.1,CD24P1
517,ENSG00000197312.12,DDI2
518,ENSG00000215695.1,RSC1A1
519,ENSG00000271742.1,RP4-680D5.9
520,ENSG00000116786.13,PLEKHM2
521,ENSG00000237938.5,RP11-288I21.1
522,ENSG00000162461.8,SLC25A34
523,ENSG00000224459.1,SLC25A34-AS1
524,ENSG00000162460.7,TMEM82
525,ENSG00000162458.13,FBLIM1
526,ENSG00000224321.1,RPL12P14
527,ENSG00000233954.6,UQCRHL
528,ENSG00000178715.8,RP11-169K16.8
529,ENSG00000179743.4,FLJ37453
530,ENSG00000065526.12,SPEN
531,ENSG00000270620.1,RP1-134O19.3
532,ENSG00000116809.12,ZBTB17
533,ENSG00000234607.2,RP11-5P18.1
534,ENSG00000231353.1,RP11-5P18.3
535,ENSG00000275503.1,RP11-5P18.11
536,ENSG00000224966.4,TBC1D3P6
537,ENSG00000183888.4,SRARP
538,ENSG00000233078.1,RP11-5P18.5
539,ENSG00000173641.18,HSPB7
540,ENSG00000186510.12,CLCNKA
541,ENSG00000232456.1,RP11-5P18.10
542,ENSG00000184908.19,CLCNKB
543,ENSG00000185519.9,FAM131C
544,ENSG00000142627.13,EPHA2
545,ENSG00000227959.1,RP11-276H7.2
546,ENSG00000224621.1,RP11-276H7.3
547,ENSG00000234166.1,ARHGEF19-AS1
548,ENSG00000142632.17,ARHGEF19
549,ENSG00000237276.8,ANO7L1
550,ENSG00000288398.1,RP4-733M16.8
551,ENSG00000132881.12,CPLANE2
552,ENSG00000233929.1,MT1XP1
553,ENSG00000037637.11,FBXO42
554,ENSG00000055070.17,SZRD1
555,ENSG00000226457.1,RPL22P3
556,ENSG00000187144.11,SPATA21
557,ENSG00000157191.20,NECAP2
558,ENSG00000226029.1,LINC01772
559,ENSG00000080947.15,CROCCP3
560,ENSG00000206652.1,RNU1-1
561,ENSG00000261135.1,RP4-798A10.7
562,ENSG00000285853.1,RP4-798A10.8
563,ENSG00000224174.2,RP4-798A10.4
564,ENSG00000233421.5,LINC01783
565,ENSG00000277344.1,RNU1-6P
566,ENSG00000225710.1,PDE4DIPP8
567,ENSG00000219481.10,NBPF1
568,ENSG00000271732.1,RP5-1182A14.5
569,ENSG00000215908.10,CROCCP2
570,ENSG00000283773.1,RP5-1182A14.8
571,ENSG00000186301.8,MST1P2
572,ENSG00000282143.1,RP1-163M9.8
573,ENSG00000207513.1,RNU1-3
574,ENSG00000280114.1,RP5-875O13.7
575,ENSG00000236698.1,EIF1AXP1
576,ENSG00000268869.6,ESPNP
577,ENSG00000279151.1,RP1-163M9.7
578,ENSG00000282740.1,RP5-1182A14.7
579,ENSG00000058453.17,CROCC
580,ENSG00000227684.2,CROCCP4
581,ENSG00000207389.1,RNU1-4
582,ENSG00000186715.11,MST1L
583,ENSG00000223643.6,RP11-108M9.1
584,ENSG00000230239.1,PDE4DIPP9
585,ENSG00000263811.1,MIR3675
586,ENSG00000228549.5,RP11-108M9.3
587,ENSG00000277234.1,RNU1-5P
588,ENSG00000238142.2,RP11-108M9.4
589,ENSG00000235241.1,RP11-108M9.5
590,ENSG00000207005.1,RNU1-2
591,ENSG00000272426.1,RP11-108M9.6
592,ENSG00000117122.14,MFAP2
593,ENSG00000286898.1,RP1-37C10.7
594,ENSG00000226526.1,RP1-37C10.3
595,ENSG00000159363.19,ATP13A2
596,ENSG00000288636.1,RP1-37C10.8
597,ENSG00000117118.10,SDHB
598,ENSG00000117115.13,PADI2
599,ENSG00000204362.6,LINC02783
600,ENSG00000282843.1,RP11-380J14.4
601,ENSG00000142623.11,PADI1
602,ENSG00000142619.4,PADI3
603,ENSG00000266634.1,MIR3972
604,ENSG00000159339.13,PADI4
605,ENSG00000276747.1,PADI6
606,ENSG00000227751.1,RCC2-AS1
607,ENSG00000179051.14,RCC2
608,ENSG00000074964.17,ARHGEF10L
609,ENSG00000236648.2,LINC02810
610,ENSG00000117148.8,ACTL8
611,ENSG00000284653.1,RP11-658E23.1
612,ENSG00000261781.1,LINC01654
613,ENSG00000117154.12,IGSF21
614,ENSG00000280222.1,RP11-174G17.3
615,ENSG00000230035.2,IGSF21-AS1
616,ENSG00000225387.1,RP11-422P22.1
617,ENSG00000179023.9,KLHDC7A
618,ENSG00000235282.3,DYNLL1P3
619,ENSG00000225478.2,RP1-8B22.2
620,ENSG00000009709.12,PAX7
621,ENSG00000179002.5,TAS1R2
622,ENSG00000159423.17,ALDH4A1
623,ENSG00000265606.1,MIR4695
